[-0.48170197 -0.48170197 -0.48170197]
[-0.47274704 -0.47274704 -0.47274704]
[-0.46352384 -0.46352384 -0.46352384]
[-0.45403344 -0.45403344 -0.45403344]
[-0.44427635 -0.44427635 -0.44427635]
[-0.43425397 -0.43425397 -0.43425397]
[-0.42396753 -0.42396753 -0.42396753]
[-0.41341911 -0.41341911 -0.41341911]
[-0.40261046 -0.40261046 -0.40261046]
[-0.39154367 -0.39154367 -0.39154367]
[-0.38022155 -0.38022155 -0.38022155]
[-0.3686467 -0.3686467 -0.3686467]
[-0.35682192 -0.35682192 -0.35682192]
[-0.34475052 -0.34475052 -0.34475052]
[-0.33243618 -0.33243618 -0.33243618]
[-0.31988255 -0.31988255 -0.31988255]
[-0.3070933 -0.3070933 -0.3070933]
[-0.29407297 -0.29407297 -0.29407297]
[-0.28082575 -0.28082575 -0.28082575]
[-0.26735634 -0.26735634 -0.26735634]
[-0.25366947 -0.25366947 -0.25366947]
[-0.23977054 -0.23977054 -0.23977054]
[-0.22566444 -0.22566444 -0.22566444]
[-0.21135693 -0.21135693 -0.21135693]
[-0.19685342 -0.19685342 -0.19685342]
[-0.18216019 -0.18216019 -0.18216019]
[-0.16728288 -0.16728288 -0.16728288]
[-0.15222797 -0.15222797 -0.15222797]
[-0.13700178 -0.13700178 -0.13700178]
[-0.12161096 -0.12161096 -0.12161096]
[-0.10606223 -0.10606223 -0.10606223]
[-0.09036248 -0.09036248 -0.09036248]
[-0.0745188 -0.0745188 -0.0745188]
[-0.05853836 -0.05853836 -0.05853836]
[-0.0424285 -0.0424285 -0.0424285]
[-0.02619666 -0.02619666 -0.02619666]
[-0.00985044 -0.00985044 -0.00985044]
[0.00660247 0.00660247 0.00660247]
[0.02315427 0.02315427 0.02315427]
[0.03979708 0.03979708 0.03979708]
[0.05652291 0.05652291 0.05652291]
[0.07332369 0.07332369 0.07332369]
[0.09019129 0.09019129 0.09019129]
[0.10711747 0.10711747 0.10711747]
[0.12409401 0.12409401 0.12409401]
[0.14111256 0.14111256 0.14111256]
[0.15816479 0.15816479 0.15816479]
[0.17524223 0.17524223 0.17524223]
[0.19233668 0.19233668 0.19233668]
[0.20943951 0.20943951 0.20943951]
[0.20943951 0.20943951 0.20943951]
[0.22654234 0.22654234 0.22654234]
[0.24363679 0.24363679 0.24363679]
[0.26071414 0.26071414 0.26071414]
[0.27776653 0.27776653 0.27776653]
[0.29478506 0.29478506 0.29478506]
[0.31176153 0.31176153 0.31176153]
[0.32868774 0.32868774 0.32868774]
[0.3455553 0.3455553 0.3455553]
[0.36235618 0.36235618 0.36235618]
[0.37908202 0.37908202 0.37908202]
[0.39572478 0.39572478 0.39572478]
[0.41227661 0.41227661 0.41227661]
[0.42872948 0.42872948 0.42872948]
[0.44507571 0.44507571 0.44507571]
[0.46130745 0.46130745 0.46130745]
[0.47741736 0.47741736 0.47741736]
[0.49339777 0.49339777 0.49339777]
[0.50924152 0.50924152 0.50924152]
[0.52494128 0.52494128 0.52494128]
[0.5404899 0.5404899 0.5404899]
[0.55588073 0.55588073 0.55588073]
[0.57110699 0.57110699 0.57110699]
[0.58616185 0.58616185 0.58616185]
[0.60103921 0.60103921 0.60103921]
[0.61573244 0.61573244 0.61573244]
[0.63023595 0.63023595 0.63023595]
[0.64454346 0.64454346 0.64454346]
[0.65864956 0.65864956 0.65864956]
[0.67254849 0.67254849 0.67254849]
