         12873112 function calls (12478324 primitive calls) in 7.593 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      265    0.003    0.000    0.147    0.001 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/text.py:363(_get_layout)
        5    0.000    0.000    0.143    0.029 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/pyplot.py:2810(plot)
       12    0.000    0.000    0.142    0.012 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/pyplot.py:2307(gca)
      538    0.001    0.000    0.136    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/text.py:93(_get_text_metrics_with_cache)
        4    0.000    0.000    0.136    0.034 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/legend.py:708(draw)
      130    0.000    0.000    0.132    0.001 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/backends/backend_agg.py:221(get_text_width_height_descent)
       85    0.000    0.000    0.130    0.002 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/text.py:101(_get_text_metrics_with_cache_impl)
    57/30    0.000    0.000    0.128    0.004 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/offsetbox.py:506(_get_bbox_and_child_offsets)
        4    0.000    0.000    0.128    0.032 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/pyplot.py:691(figure)
        4    0.000    0.000    0.128    0.032 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/pyplot.py:381(new_figure_manager)
    57/30    0.000    0.000    0.127    0.004 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/offsetbox.py:512(<listcomp>)
    24/16    0.000    0.000    0.127    0.008 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/offsetbox.py:474(_get_bbox_and_child_offsets)
    60/21    0.000    0.000    0.127    0.006 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/offsetbox.py:365(get_bbox)
    24/16    0.000    0.000    0.126    0.008 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/offsetbox.py:485(<listcomp>)
       45    0.000    0.000    0.125    0.003 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/offsetbox.py:796(get_bbox)
        4    0.000    0.000    0.123    0.031 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/offsetbox.py:396(get_window_extent)
        4    0.000    0.000    0.122    0.030 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/backend_bases.py:3567(new_figure_manager)
        4    0.000    0.000    0.120    0.030 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/backend_bases.py:3576(new_figure_manager_given_figure)
        4    0.000    0.000    0.120    0.030 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/backend_bases.py:1731(new_manager)
        4    0.073    0.018    0.120    0.030 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/backend_bases.py:2850(create_with_canvas)
        4    0.000    0.000    0.119    0.030 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/mathtext.py:210(parse)
        2    0.000    0.000    0.119    0.060 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/mathtext.py:228(_parse_cached)
       12    0.000    0.000    0.116    0.010 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/pyplot.py:893(gcf)
     1146    0.003    0.000    0.106    0.000 /Users/nico/Documents/GitHub/QSM-insects/qsm_numerical.py:179(getChordLength)
      392    0.001    0.000    0.104    0.000 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/font_manager.py:1200(findfont)
       26    0.029    0.001    0.100    0.004 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/font_manager.py:1360(_findfont_cached)
       27    0.001    0.000    0.095    0.004 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/axis.py:1257(_update_ticks)
2366816/2366089    0.094    0.000    0.094    0.000 {built-in method builtins.len}
        2    0.000    0.000    0.091    0.045 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/_mathtext.py:597(__init__)
       28    0.000    0.000    0.075    0.003 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/axis.py:1595(get_major_ticks)
   238940    0.075    0.000    0.075    0.000 {method 'astype' of 'numpy.ndarray' objects}
        6    0.000    0.000    0.072    0.012 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/axis.py:1368(draw)
      117    0.000    0.000    0.072    0.001 /Users/nico/anaconda3/lib/python3.11/site-packages/matplotlib/axis.py:1544(_get_tick)
  1038113    0.071    0.000    0.071    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
